Filename,SegmentIndex,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
210101070_E_0_1.txt,46,8.34417,1.96745,-0.897041,2.00068,3.74151,0.110614,-2.35412,-1.05925,-0.285189,-0.0772194,-0.255232,-0.0226276
210101070_E_0_1.txt,47,6.2518,2.47143,0.712404,1.70442,1.56971,-0.903365,-2.53995,-0.838569,0.4626,-0.405647,-0.282101,-0.00883213
210101070_E_0_1.txt,48,7.29491,3.40569,0.617635,3.61266,3.48107,-1.68841,-2.83999,-1.09753,0.021645,0.200125,-0.35304,-0.059245
210101070_E_0_1.txt,49,6.01217,3.67785,2.13559,3.35619,2.13824,-1.50929,-2.66341,-0.558275,0.349525,0.10723,-0.283083,-0.0254548
210101070_E_0_1.txt,50,6.54515,4.33886,2.59906,3.02256,2.394,-1.10409,-3.11664,-0.649934,-0.0803638,0.222468,-0.176218,-0.0196549
210101070_E_0_1.txt,51,5.09315,5.03541,3.97306,3.42401,1.29112,-1.474,-1.59655,-0.669273,-0.0369086,-0.439462,-0.163282,0.0459966
210101070_E_0_1.txt,52,4.19743,5.18294,4.76496,2.44565,0.863897,0.44498,-1.05764,-0.390381,-0.263478,-0.228774,-0.0112564,0.0457353
210101070_E_0_1.txt,53,3.76881,4.04141,3.92671,2.49346,0.805162,-0.78004,-1.36688,-0.329488,-0.0622233,0.409482,0.0111098,0.142411
210101070_E_0_1.txt,54,2.52762,3.04784,2.0739,1.6478,0.469945,0.143417,1.25337,0.422344,-0.494228,0.295598,0.285963,0.0208014
210101070_E_0_1.txt,55,1.50072,1.75827,1.97932,0.958626,-0.135748,0.384256,1.37263,0.163312,0.826169,0.164796,0.211758,-0.0728467
210101070_E_0_1.txt,56,1.46327,1.33784,1.06703,-0.0400561,-0.394265,0.11264,-0.450071,0.538286,0.338751,0.324713,0.00451789,-0.0729443
210101070_E_0_1.txt,57,0.323305,0.300247,0.0730404,-0.0336875,0.742646,0.880814,-0.855141,0.469824,-0.0701587,0.442497,-0.0862681,0.046788
210101070_E_0_1.txt,58,0.108895,0.04758,-0.40783,-0.0368087,-0.435451,0.0764441,0.310338,0.336862,0.232932,-0.107851,0.0881409,0.101782
210101070_E_0_1.txt,59,0.292293,0.121862,-0.0865192,-0.560431,0.344749,-0.208788,0.148002,0.0359923,-0.0965744,0.197693,0.122845,-0.0823535
210101070_E_0_1.txt,60,0.0147213,0.761451,0.396835,0.194387,0.267519,1.6311,-1.25825,0.139553,0.285508,0.459537,0.375287,0.0400925
210101070_E_0_1.txt,61,-0.0154272,0.0317337,-0.140683,0.788544,-1.23436,0.0854831,0.232404,-0.43831,0.750227,0.369433,0.198968,-0.0164666
